SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$004212,16914,HVBJOY,"""PPU Status Register""",UNUSED
$004213,16915,RDIO,"""IO Port Read Register""",UNUSED
$004214,16916,RDDIVL,"""Multiplication Or Divide Result Registers (Low)""",UNUSED
$004215,16917,RDDIVH,"""Multiplication Or Divide Result Registers (High)""",UNUSED
$004216,16918,RDMPYL,"""Multiplication Or Divide Result Registers (Low)""",UNUSED
$004217,16919,RDMPYH,"""Multiplication Or Divide Result Registers (High)""",UNUSED
$004218,16920,JOY1L,"""Controller Port Data Registers (Pad 1 - Low)""",UNUSED
$004219,16921,JOY1H,"""Controller Port Data Registers (Pad 1 - High)""",UNUSED
$00421A,16922,JOY2L,"""Controller Port Data Registers (Pad 2 - Low)""",UNUSED
$00421B,16923,JOY2H,"""Controller Port Data Registers (Pad 2 - High)""",UNUSED
$00421C,16924,JOY3L,"""Controller Port Data Registers (Pad 3 - Low)""",UNUSED
$00421D,16925,JOY3H,"""Controller Port Data Registers (Pad 3 - High)""",UNUSED
$00421E,16926,JOY4L,"""Controller Port Data Registers (Pad 4 - Low)""",UNUSED
$00421F,16927,JOY4H,"""Controller Port Data Registers (Pad 4 - High)""",UNUSED
$004300,17152,DMAP0,"""(H)DMA Control""",UNUSED
$004301,17153,BBAD0,"""(H)DMA B-Bus Address""",UNUSED
$004302,17154,A1T0L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004303,17155,A1T0H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004304,17156,A1B0,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004305,17157,DAS0L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004306,17158,DAS0H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004307,17159,DAS0B,"""HDMA Indirect Address (Bank)""",UNUSED
$004308,17160,A2A0L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
$004309,17161,A2A0H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00430A,17162,NTLR0,"""HDMA Line Counter""",UNUSED
$004310,17168,DMAP1,"""(H)DMA Control""",UNUSED
$004311,17169,BBAD1,"""(H)DMA B-Bus Address""",UNUSED
$004312,17170,A1T1L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004313,17171,A1T1H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004314,17172,A1B1,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004315,17173,DAS1L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004316,17174,DAS1H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004317,17175,DAS1B,"""HDMA Indirect Address (Bank)""",UNUSED
$004318,17176,A2A1L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
$004319,17177,A2A1H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00431A,17178,NTLR1,"""HDMA Line Counter""",UNUSED
$004320,17184,DMAP2,"""(H)DMA Control""",UNUSED
$004321,17185,BBAD2,"""(H)DMA B-Bus Address""",UNUSED
$004322,17186,A1T2L,"""DMA A-Bus Address / HDMA Table Address (Low)""",UNUSED
$004323,17187,A1T2H,"""DMA A-Bus Address / HDMA Table Address (High)""",UNUSED
$004324,17188,A1B2,"""DMA A-Bus Address / HDMA Table Address (Bank)""",UNUSED
$004325,17189,DAS2L,"""DMA Size / HDMA Indirect Address (Low)""",UNUSED
$004326,17190,DAS2H,"""DMA Size / HDMA Indirect Address (High)""",UNUSED
$004327,17191,DAS2B,"""HDMA Indirect Address (Bank)""",UNUSED
$004328,17192,A2A2L,"""HDMA Mid Frame Table Address (Low)""",UNUSED
